"","User.ID","ISBN","Book.Rating"
"1",1,20,8
"2",1,32,6
"3",1,34,7
"4",1,40,0
"5",1,60,1
"6",1,72,0
"7",1,83,8
"8",1,95,5
"9",2,10,5
"10",2,22,7
"11",2,25,1
"12",2,27,0
"13",2,65,7
"14",2,97,7
"15",3,42,4
"16",3,45,2
"17",4,36,0
"18",4,44,8
"19",4,52,0
"20",4,84,0
"21",5,19,8
"22",5,43,9
"23",5,49,2
"24",5,58,4
"25",5,61,8
"26",5,64,1
"27",5,67,1
"28",5,69,5
"29",6,6,2
"30",6,32,5
"31",6,39,3
"32",6,81,1
"33",7,11,7
"34",7,42,1
"35",7,95,3
"36",7,98,7
"37",8,26,7
"38",8,70,5
"39",8,83,9
"40",9,9,3
"41",9,50,7
"42",9,60,5
"43",9,63,3
"44",10,27,5
"45",10,50,3
"46",11,13,0
"47",11,14,6
"48",11,28,4
"49",12,11,2
"50",12,39,8
"51",13,54,4
"52",14,21,1
"53",14,33,8
"54",14,36,0
"55",14,88,1
"56",15,54,7
"57",16,39,2
"58",16,42,5
"59",16,98,2
"60",17,15,3
"61",17,50,4
"62",17,92,2
"63",18,1,9
"64",18,7,5
"65",19,4,1
"66",19,6,2
"67",19,27,9
"68",20,52,4
"69",20,63,4
"70",21,4,6
"71",21,41,6
"72",21,50,6
"73",22,4,8
"74",22,21,7
"75",22,39,3
"76",22,53,3
"77",22,61,3
"78",22,77,3
"79",23,19,2
"80",23,22,8
"81",23,47,4
"82",23,84,3
"83",24,4,4
"84",26,10,3
"85",26,55,1
"86",26,69,2
"87",27,68,5
"88",27,79,0
"89",29,31,3
"90",30,31,2
"91",30,59,5
"92",30,60,6
"93",30,83,2
"94",31,27,5
"95",31,46,8
"96",31,54,3
"97",31,59,5
"98",31,75,3
"99",31,100,5
"100",32,14,0
"101",32,76,0
"102",32,94,7
"103",33,13,0
"104",33,24,1
"105",33,28,9
"106",34,4,2
"107",34,60,6
"108",34,87,8
"109",35,22,3
"110",35,41,0
"111",35,83,8
"112",36,2,0
"113",36,19,1
"114",36,91,0
"115",37,57,7
"116",37,63,7
"117",37,78,6
"118",37,98,1
"119",38,15,6
"120",39,11,3
"121",39,15,1
"122",39,18,5
"123",39,28,5
"124",39,93,4
"125",40,65,4
"126",41,3,1
"127",41,32,0
"128",41,54,1
"129",41,60,5
"130",42,28,5
"131",42,44,2
"132",42,71,4
"133",43,21,4
"134",43,75,3
"135",43,85,3
"136",43,99,6
"137",44,4,6
"138",44,25,1
"139",44,30,8
"140",44,61,0
"141",44,71,3
"142",44,92,0
"143",45,47,4
"144",45,81,3
"145",46,59,3
"146",46,68,6
"147",46,71,7
"148",46,75,0
"149",47,3,5
"150",47,42,4
"151",47,47,6
"152",47,48,2
"153",47,49,4
"154",48,17,4
"155",48,18,4
"156",48,71,0
"157",49,54,2
"158",49,61,4
"159",50,57,4
"160",50,97,8
"161",51,1,8
"162",51,21,1
"163",52,30,4
"164",52,59,5
"165",52,70,6
"166",52,100,6
"167",53,38,5
"168",53,44,2
"169",53,100,3
"170",54,25,7
"171",55,2,0
"172",55,59,4
"173",56,23,1
"174",57,42,3
"175",58,11,4
"176",58,25,8
"177",58,44,2
"178",58,45,1
"179",58,75,8
"180",59,4,0
"181",59,52,7
"182",59,92,4
"183",60,75,3
"184",61,7,2
"185",61,15,0
"186",61,34,8
"187",61,97,9
"188",62,21,5
"189",62,25,0
"190",62,53,0
"191",62,55,0
"192",64,46,0
"193",64,80,5
"194",65,42,8
"195",65,76,0
"196",66,95,6
"197",67,14,8
"198",67,40,7
"199",67,65,7
"200",67,94,0
"201",68,23,3
"202",69,12,4
"203",69,44,5
"204",70,4,5
"205",70,21,5
"206",70,50,2
"207",70,55,5
"208",70,64,4
"209",70,79,5
"210",70,92,4
"211",71,6,5
"212",71,7,4
"213",71,89,2
"214",72,3,2
"215",72,5,4
"216",72,33,7
"217",72,51,0
"218",73,41,1
"219",73,42,5
"220",73,44,2
"221",73,72,4
"222",74,13,8
"223",74,89,3
"224",75,72,8
"225",75,86,1
"226",76,23,8
"227",76,95,0
"228",78,10,9
"229",78,58,7
"230",79,7,7
"231",79,38,8
"232",79,66,2
"233",79,68,0
"234",79,80,2
"235",80,17,7
"236",80,30,1
"237",80,40,2
"238",80,78,6
"239",80,85,7
"240",81,3,1
"241",81,18,2
"242",81,31,2
"243",81,89,7
"244",82,30,3
"245",82,40,2
"246",82,49,3
"247",82,62,3
"248",82,91,2
"249",83,25,3
"250",83,62,6
"251",83,99,9
"252",84,46,2
"253",85,91,5
"254",85,92,5
"255",86,3,2
"256",86,62,4
"257",88,30,7
"258",88,42,8
"259",88,54,8
"260",89,63,6
"261",89,70,1
"262",89,90,5
"263",90,24,8
"264",91,20,2
"265",91,95,6
"266",91,100,2
"267",92,46,2
"268",92,65,7
"269",92,93,5
"270",94,11,3
"271",94,82,3
"272",94,84,8
"273",95,32,5
"274",95,71,6
"275",97,8,8
"276",97,88,4
"277",97,91,1
"278",98,22,0
"279",98,27,1
"280",99,73,7
"281",99,89,4
"282",100,19,0
"283",100,41,5
"284",101,31,2
"285",101,32,3
"286",101,36,3
"287",101,89,4
"288",101,90,6
"289",102,26,1
"290",103,26,4
"291",103,68,3
"292",104,34,9
"293",104,56,7
"294",104,75,1
"295",105,22,6
"296",105,87,3
"297",105,93,4
"298",106,39,8
"299",106,53,3
"300",106,70,2
"301",107,48,1
"302",107,49,8
"303",107,63,3
"304",108,2,7
"305",108,20,0
"306",109,10,0
"307",109,14,3
"308",109,15,0
"309",109,39,3
"310",110,4,4
"311",110,61,0
"312",111,8,6
"313",111,73,1
"314",112,81,2
"315",113,6,5
"316",113,34,3
"317",113,56,0
"318",114,85,1
"319",116,48,4
"320",116,52,6
"321",116,94,5
"322",117,24,1
"323",118,13,2
"324",118,21,8
"325",118,31,8
"326",118,73,0
"327",118,80,7
"328",119,36,4
"329",120,5,0
"330",120,53,7
"331",121,29,2
"332",121,48,1
"333",121,74,2
"334",121,79,5
"335",121,84,4
"336",122,40,2
"337",122,71,1
"338",122,100,3
"339",123,3,2
"340",123,68,4
"341",124,22,2
"342",124,39,3
"343",124,42,5
"344",124,72,6
"345",125,31,5
"346",125,40,3
"347",125,73,7
"348",126,37,7
"349",126,62,7
"350",126,73,9
"351",126,90,8
"352",127,11,6
"353",127,20,9
"354",127,69,1
"355",128,37,4
"356",128,42,3
"357",128,47,5
"358",128,57,5
"359",128,76,4
"360",128,85,5
"361",128,96,4
"362",129,64,0
"363",129,66,4
"364",129,76,2
"365",129,91,2
"366",129,99,8
"367",130,31,0
"368",130,63,4
"369",130,83,3
"370",131,61,1
"371",132,16,0
"372",132,49,9
"373",132,51,4
"374",133,10,2
"375",133,61,5
"376",133,71,0
"377",133,72,3
"378",133,79,5
"379",134,13,0
"380",134,33,5
"381",134,34,4
"382",134,50,6
"383",134,54,9
"384",134,89,0
"385",134,94,9
"386",134,95,2
"387",135,17,5
"388",135,40,6
"389",135,56,7
"390",136,11,5
"391",136,13,5
"392",136,17,0
"393",136,32,5
"394",136,67,3
"395",136,71,2
"396",137,56,6
"397",137,67,4
"398",138,36,6
"399",138,55,8
"400",139,53,1
"401",139,100,2
"402",140,42,4
"403",140,86,3
"404",141,14,7
"405",141,27,9
"406",141,71,9
"407",142,21,4
"408",142,96,1
"409",143,31,6
"410",144,5,9
"411",144,23,8
"412",144,61,3
"413",144,82,2
"414",145,24,7
"415",145,46,8
"416",145,58,1
"417",145,62,5
"418",145,65,9
"419",145,71,5
"420",146,18,6
"421",146,36,1
"422",146,62,4
"423",146,64,6
"424",147,25,2
"425",148,20,0
"426",148,54,1
"427",148,65,8
"428",148,82,6
"429",149,4,1
"430",149,12,3
"431",149,20,5
"432",150,42,0
"433",150,61,9
"434",151,68,8
"435",152,62,2
"436",152,63,0
"437",152,67,4
"438",153,79,0
"439",153,89,4
"440",154,1,5
"441",154,10,0
"442",154,31,6
"443",154,81,7
"444",154,82,8
"445",154,85,4
"446",154,97,9
"447",155,11,8
"448",155,56,0
"449",156,50,6
"450",156,92,3
"451",156,94,7
"452",157,89,0
"453",158,4,7
"454",158,18,2
"455",158,29,6
"456",158,58,4
"457",158,83,9
"458",158,86,9
"459",158,93,0
"460",159,13,9
"461",159,24,9
"462",160,4,8
"463",160,12,4
"464",161,5,8
"465",161,96,4
"466",162,15,0
"467",162,24,6
"468",162,92,0
"469",163,67,5
"470",164,92,6
"471",165,24,0
"472",165,87,3
"473",166,7,2
"474",166,39,2
"475",166,54,7
"476",167,35,3
"477",167,82,0
"478",167,91,2
"479",168,72,6
"480",169,50,0
"481",169,73,0
"482",170,8,5
"483",170,13,1
"484",170,53,8
"485",170,61,7
"486",170,65,1
"487",171,30,6
"488",171,80,3
"489",172,25,5
"490",172,35,1
"491",172,99,1
"492",173,6,3
"493",173,9,8
"494",173,24,6
"495",173,96,0
"496",174,34,0
"497",174,88,0
"498",175,4,3
"499",175,29,4
"500",175,40,1
"501",175,58,7
"502",176,5,1
"503",176,72,3
"504",176,94,3
"505",177,2,0
"506",177,69,0
"507",178,19,4
"508",179,59,6
"509",180,81,9
"510",181,3,8
"511",181,47,7
"512",181,52,5
"513",181,78,3
"514",181,86,4
"515",181,94,1
"516",182,12,4
"517",182,72,2
"518",183,27,0
"519",183,39,4
"520",183,67,3
"521",184,42,5
"522",184,66,1
"523",184,96,2
"524",186,13,2
"525",186,43,2
"526",186,69,2
"527",187,6,9
"528",187,7,0
"529",187,13,8
"530",187,17,7
"531",187,42,5
"532",187,74,1
"533",187,91,9
"534",188,13,8
"535",188,43,2
"536",189,5,5
"537",189,38,4
"538",189,72,6
"539",189,73,4
"540",190,10,0
"541",190,21,0
"542",190,65,9
"543",191,31,6
"544",191,64,2
"545",191,87,6
"546",192,26,6
"547",192,36,6
"548",193,15,4
"549",193,17,0
"550",193,75,0
"551",193,90,1
"552",194,39,6
"553",194,61,6
"554",194,81,7
"555",195,19,5
"556",195,49,5
"557",195,63,5
"558",195,76,1
"559",195,83,5
"560",195,87,0
"561",196,45,5
"562",196,48,5
"563",196,83,0
"564",197,44,4
"565",197,48,0
"566",198,13,0
"567",198,25,0
"568",198,45,6
"569",198,47,6
"570",198,48,0
"571",198,98,2
"572",199,41,7
"573",199,57,7
"574",199,65,8
"575",200,4,3
"576",200,40,5
"577",200,49,1
"578",200,84,1
"579",201,32,5
"580",201,88,0
"581",201,98,7
"582",202,18,2
"583",202,47,3
"584",202,49,1
"585",202,54,5
"586",202,79,8
"587",203,1,6
"588",203,2,0
"589",203,4,0
"590",203,38,1
"591",203,42,2
"592",203,48,6
"593",203,56,5
"594",203,95,4
"595",205,14,9
"596",205,22,2
"597",205,33,7
"598",206,35,1
"599",206,42,5
"600",206,89,0
"601",207,15,0
"602",208,2,3
"603",208,30,2
"604",208,67,6
"605",209,21,2
"606",209,22,9
"607",209,29,0
"608",209,32,3
"609",209,88,2
"610",210,9,6
"611",210,10,4
"612",210,56,0
"613",210,69,1
"614",211,49,7
"615",211,55,0
"616",211,90,0
"617",211,99,7
"618",212,9,2
"619",212,94,6
"620",213,1,5
"621",213,74,0
"622",214,10,4
"623",214,34,8
"624",214,78,3
"625",214,84,8
"626",215,27,7
"627",215,52,2
"628",216,37,0
"629",216,40,8
"630",216,44,6
"631",216,45,5
"632",216,61,1
"633",217,91,0
"634",218,15,6
"635",218,57,5
"636",218,72,2
"637",219,18,5
"638",219,61,6
"639",219,98,7
"640",220,22,8
"641",220,52,4
"642",220,59,0
"643",220,90,0
"644",220,98,8
"645",220,99,9
"646",221,7,4
"647",221,44,7
"648",221,96,5
"649",221,98,2
"650",222,2,3
"651",222,37,1
"652",222,56,8
"653",222,62,2
"654",222,90,1
"655",223,11,7
"656",223,39,5
"657",223,60,1
"658",224,10,7
"659",224,26,6
"660",224,64,7
"661",225,13,5
"662",225,48,6
"663",225,58,5
"664",225,85,2
"665",225,92,6
"666",226,4,8
"667",226,44,7
"668",226,51,2
"669",226,58,5
"670",226,97,0
"671",227,9,8
"672",227,70,6
"673",227,82,5
"674",228,1,3
"675",228,20,7
"676",229,13,6
"677",229,30,2
"678",229,40,3
"679",229,96,2
"680",230,25,7
"681",230,28,8
"682",230,74,7
"683",230,88,0
"684",231,13,1
"685",231,14,4
"686",232,2,4
"687",232,31,6
"688",232,54,3
"689",232,56,7
"690",232,83,1
"691",233,10,1
"692",233,68,9
"693",233,91,5
"694",234,33,2
"695",234,74,4
"696",234,78,3
"697",235,14,1
"698",235,27,7
"699",235,42,1
"700",235,53,9
"701",235,66,2
"702",235,76,7
"703",236,27,8
"704",236,30,6
"705",236,44,8
"706",236,58,0
"707",237,76,6
"708",237,98,0
"709",238,3,8
"710",238,18,7
"711",238,52,5
"712",238,86,4
"713",238,97,7
"714",239,33,1
"715",239,93,3
"716",240,19,0
"717",240,44,5
"718",240,73,9
"719",240,82,7
"720",240,98,0
"721",240,99,6
"722",241,29,0
"723",241,47,4
"724",241,64,9
"725",241,69,6
"726",242,9,2
"727",242,51,8
"728",243,74,0
"729",244,5,0
"730",244,12,1
"731",244,34,7
"732",246,27,7
"733",246,87,5
"734",247,6,6
"735",247,7,4
"736",247,49,1
"737",247,60,4
"738",248,30,7
"739",249,48,6
"740",249,82,5
"741",249,85,4
"742",249,87,2
"743",249,100,4
"744",250,48,7
"745",250,84,3
"746",250,88,0
"747",251,3,8
"748",251,80,1
"749",252,24,1
"750",252,39,5
"751",252,55,0
"752",252,68,0
"753",252,91,2
"754",254,6,3
"755",254,11,6
"756",254,17,1
"757",254,56,2
"758",254,83,7
"759",255,7,2
"760",255,54,3
"761",255,97,1
"762",256,3,3
"763",256,6,8
"764",256,11,7
"765",256,35,5
"766",256,90,3
"767",256,100,1
"768",257,34,1
"769",257,43,5
"770",257,52,0
"771",257,53,4
"772",257,77,5
"773",258,1,6
"774",258,75,1
"775",259,33,3
"776",259,49,8
"777",259,68,3
"778",259,86,5
"779",259,87,2
"780",259,99,0
"781",260,11,4
"782",260,31,6
"783",260,51,1
"784",260,72,7
"785",261,23,4
"786",261,28,2
"787",261,37,2
"788",261,42,5
"789",261,89,2
"790",262,32,2
"791",262,38,1
"792",262,55,8
"793",262,67,6
"794",262,76,3
"795",263,10,3
"796",263,41,7
"797",263,73,4
"798",264,36,4
"799",264,43,7
"800",264,66,6
"801",264,77,5
"802",264,88,0
"803",265,27,1
"804",265,41,2
"805",265,87,1
"806",266,32,4
"807",266,82,8
"808",266,89,6
"809",267,91,6
"810",268,4,9
"811",268,10,7
"812",268,21,5
"813",268,30,7
"814",268,50,2
"815",268,54,5
"816",268,64,9
"817",268,71,0
"818",268,93,2
"819",269,6,3
"820",269,45,4
"821",269,46,3
"822",269,55,1
"823",270,7,2
"824",270,20,5
"825",270,45,2
"826",270,54,2
"827",270,71,1
"828",270,98,4
"829",271,7,2
"830",271,12,4
"831",271,42,7
"832",271,49,8
"833",271,90,0
"834",272,26,4
"835",272,59,7
"836",273,34,9
"837",273,57,0
"838",273,74,1
"839",273,84,8
"840",274,45,5
"841",274,50,6
"842",274,55,6
"843",274,61,1
"844",274,84,2
"845",276,24,7
"846",276,85,2
"847",276,92,3
"848",276,97,6
"849",277,9,4
"850",277,12,4
"851",277,34,2
"852",278,32,3
"853",278,41,4
"854",279,16,0
"855",279,17,9
"856",279,21,4
"857",279,99,6
"858",280,45,5
"859",280,61,8
"860",280,71,1
"861",280,81,5
"862",281,6,6
"863",281,42,4
"864",281,58,8
"865",281,59,5
"866",282,41,8
"867",282,58,7
"868",282,60,2
"869",282,78,5
"870",284,36,4
"871",284,78,3
"872",285,50,1
"873",286,39,4
"874",286,44,5
"875",287,64,1
"876",288,2,0
"877",288,14,8
"878",288,17,2
"879",288,53,0
"880",288,74,1
"881",289,26,4
"882",289,30,6
"883",289,37,7
"884",289,51,3
"885",289,55,2
"886",289,76,2
"887",290,15,2
"888",290,28,0
"889",290,90,5
"890",291,15,3
"891",291,24,4
"892",291,100,3
"893",292,71,7
"894",292,84,1
"895",293,11,9
"896",293,31,6
"897",293,86,4
"898",293,91,2
"899",294,17,5
"900",294,59,6
"901",294,61,7
"902",294,64,9
"903",294,71,7
"904",294,92,1
"905",295,97,4
"906",296,52,5
"907",297,6,2
"908",297,67,5
"909",297,81,1
"910",298,3,7
"911",298,10,5
"912",298,59,7
"913",299,22,7
"914",300,82,5
"915",300,84,2
"916",300,91,0
"917",301,26,0
"918",302,42,3
"919",302,67,5
"920",302,72,8
"921",302,97,1
"922",303,71,7
"923",303,72,2
"924",303,94,3
"925",303,96,0
"926",303,97,5
"927",304,23,7
"928",304,29,4
"929",304,75,8
"930",305,14,8
"931",305,45,6
"932",305,46,9
"933",305,92,0
"934",306,47,2
"935",306,89,9
"936",307,4,6
"937",307,28,0
"938",307,33,9
"939",307,38,9
"940",308,35,1
"941",308,66,0
"942",308,75,6
"943",308,93,6
"944",309,3,9
"945",309,16,7
"946",309,32,6
"947",309,67,7
"948",310,19,8
"949",310,35,3
"950",310,78,6
"951",310,79,6
"952",310,94,9
"953",311,81,1
"954",311,84,8
"955",312,18,2
"956",312,80,5
"957",312,84,2
"958",312,89,1
"959",313,48,6
"960",313,57,4
"961",313,94,7
"962",314,65,4
"963",314,76,0
"964",314,84,9
"965",315,17,3
"966",315,52,4
"967",315,53,1
"968",315,100,7
"969",317,54,5
"970",318,10,8
"971",318,31,8
"972",318,63,3
"973",318,68,7
"974",318,73,1
"975",319,1,4
"976",319,40,6
"977",319,89,5
"978",320,31,3
"979",320,36,6
"980",321,100,7
"981",322,5,7
"982",322,27,0
"983",322,51,6
"984",322,60,3
"985",322,66,7
"986",322,74,3
"987",322,84,7
"988",323,28,8
"989",323,56,0
"990",324,74,3
"991",324,87,6
"992",325,31,2
"993",325,41,3
"994",325,90,3
"995",326,65,4
"996",327,11,3
"997",327,15,5
"998",327,98,2
"999",328,2,3
"1000",328,18,6
"1001",328,19,7
"1002",329,71,4
"1003",329,95,4
"1004",329,98,2
"1005",330,19,8
"1006",330,36,6
"1007",330,68,0
"1008",330,69,0
"1009",330,70,2
"1010",331,3,7
"1011",331,7,3
"1012",331,21,5
"1013",331,28,8
"1014",331,43,6
"1015",331,59,8
"1016",332,4,8
"1017",332,43,0
"1018",332,75,1
"1019",332,77,2
"1020",332,86,5
"1021",332,88,4
"1022",333,5,0
"1023",333,39,7
"1024",334,46,4
"1025",334,63,1
"1026",334,86,5
"1027",334,91,0
"1028",334,96,0
"1029",335,41,3
"1030",335,67,4
"1031",336,8,7
"1032",336,58,3
"1033",336,60,3
"1034",336,74,1
"1035",337,9,4
"1036",337,41,1
"1037",337,47,0
"1038",337,59,7
"1039",337,72,1
"1040",338,21,6
"1041",338,23,3
"1042",338,24,6
"1043",338,59,2
"1044",338,66,6
"1045",338,85,3
"1046",339,35,4
"1047",339,49,5
"1048",339,54,7
"1049",339,65,1
"1050",339,73,7
"1051",339,99,4
"1052",340,2,4
"1053",340,8,2
"1054",340,35,2
"1055",340,51,5
"1056",340,65,3
"1057",340,88,5
"1058",340,92,4
"1059",341,4,3
"1060",341,28,6
"1061",342,17,6
"1062",342,22,3
"1063",342,58,9
"1064",342,59,7
"1065",343,9,3
"1066",343,59,1
"1067",344,23,7
"1068",344,55,8
"1069",344,63,2
"1070",344,67,3
"1071",344,90,4
"1072",345,23,6
"1073",345,36,1
"1074",345,71,9
"1075",345,87,7
"1076",345,88,8
"1077",346,25,6
"1078",346,39,5
"1079",347,25,2
"1080",347,28,7
"1081",347,90,6
"1082",347,95,5
"1083",348,7,3
"1084",348,23,6
"1085",348,26,2
"1086",348,65,6
"1087",348,95,3
"1088",349,7,1
"1089",349,22,5
"1090",349,29,0
"1091",350,31,6
"1092",350,94,2
"1093",351,32,6
"1094",351,50,3
"1095",351,73,1
"1096",351,92,4
"1097",352,33,6
"1098",352,41,8
"1099",352,57,7
"1100",352,87,3
"1101",353,58,4
