"","User.ID","ISBN","Book.Rating"
"1",1,6,7
"2",1,98,7
"3",2,11,2
"4",2,13,2
"5",2,44,0
"6",2,46,0
"7",2,49,9
"8",2,83,4
"9",2,88,9
"10",2,91,0
"11",3,13,1
"12",3,14,0
"13",3,16,8
"14",3,38,7
"15",3,50,5
"16",3,62,6
"17",3,85,6
"18",3,100,1
"19",4,29,3
"20",4,88,0
"21",4,95,7
"22",4,96,9
"23",4,99,5
"24",5,53,9
"25",5,73,7
"26",5,88,0
"27",6,34,3
"28",6,36,5
"29",6,50,4
"30",6,55,1
"31",6,57,5
"32",6,73,2
"33",6,74,5
"34",6,92,0
"35",7,10,3
"36",7,29,9
"37",7,47,8
"38",7,49,3
"39",7,50,3
"40",7,57,2
"41",8,4,8
"42",8,33,9
"43",8,41,3
"44",8,51,1
"45",8,54,8
"46",8,61,3
"47",8,67,6
"48",8,74,5
"49",8,78,7
"50",8,82,1
"51",8,85,2
"52",8,98,4
"53",9,16,0
"54",9,31,8
"55",9,33,0
"56",9,85,4
"57",9,92,5
"58",10,5,3
"59",10,12,4
"60",10,23,4
"61",10,52,5
"62",10,53,5
"63",10,65,7
"64",10,68,5
"65",10,79,4
"66",10,80,4
"67",10,81,5
"68",10,93,5
"69",10,99,6
"70",11,40,8
"71",11,43,7
"72",11,54,3
"73",12,10,1
"74",12,12,5
"75",12,16,1
"76",12,44,8
"77",12,88,0
"78",12,94,2
"79",13,2,8
"80",13,9,5
"81",13,21,3
"82",13,65,6
"83",13,67,1
"84",13,74,0
"85",13,84,4
"86",13,87,5
"87",13,91,5
"88",13,95,4
"89",14,16,0
"90",14,39,7
"91",14,40,6
"92",14,58,4
"93",14,72,6
"94",14,97,1
"95",15,8,6
"96",15,24,4
"97",15,31,5
"98",15,53,2
"99",15,61,6
"100",15,70,5
"101",15,84,3
"102",15,89,1
"103",16,6,4
"104",16,26,2
"105",16,52,7
"106",16,55,7
"107",16,59,2
"108",16,72,5
"109",16,89,7
"110",17,3,3
"111",17,8,5
"112",17,76,5
"113",17,79,0
"114",17,94,5
"115",17,96,0
"116",17,97,5
"117",18,42,7
"118",18,47,5
"119",18,48,3
"120",18,59,0
"121",18,73,0
"122",18,82,6
"123",18,92,3
"124",19,5,1
"125",19,20,1
"126",19,28,1
"127",19,30,2
"128",19,44,7
"129",19,51,6
"130",19,62,8
"131",19,86,0
"132",19,92,6
"133",20,2,3
"134",20,50,3
"135",20,65,1
"136",20,82,2
"137",20,89,3
"138",20,94,6
"139",21,24,4
"140",21,60,2
"141",21,82,5
"142",21,98,1
"143",21,99,6
"144",22,14,0
"145",22,18,2
"146",22,42,4
"147",22,56,5
"148",22,69,0
"149",22,71,3
"150",22,75,5
"151",23,15,6
"152",23,62,2
"153",23,64,8
"154",23,89,0
"155",24,1,2
"156",24,25,5
"157",24,28,9
"158",24,90,5
"159",24,99,4
"160",25,9,1
"161",25,30,6
"162",25,32,3
"163",25,51,8
"164",25,54,0
"165",26,9,3
"166",26,17,2
"167",26,43,2
"168",26,49,4
"169",26,54,7
"170",26,64,8
"171",26,91,1
"172",27,4,2
"173",27,15,0
"174",27,18,5
"175",27,32,4
"176",27,67,9
"177",27,77,3
"178",27,91,0
"179",27,94,0
"180",28,1,7
"181",28,93,2
"182",29,1,2
"183",29,5,3
"184",29,15,3
"185",29,49,2
"186",29,54,8
"187",29,82,0
"188",30,10,0
"189",30,16,5
"190",30,32,4
"191",30,38,1
"192",30,46,7
"193",30,50,1
"194",30,62,3
